ZIP,fips,cnip_2020_12,laborforce_2020_12,employed_2020_12,unemployment_percent_2020_12,,,SUMIF,ZipCode,sumifcnip,sumiflabor,sumifemploy,sumif/countifunemp,avgifunemppct,,,MAPZIPS,ZipCode,mapcnip,maplabor,mapemploy,mapunemppct
11379,3.61E+10,5196.5,3151.2,2799.4,11.16%,,,SUMIF,08753,0,0,0,#DIV/0!,#DIV/0!,,,MAPZIPS,10037,48499.6,27157.3,23230.7,13.82%
11379,3.61E+10,1612.1,995.8,886.3,11.00%,,,SUMIF,08807,0,0,0,#DIV/0!,#DIV/0!,,,MAPZIPS,10039,38871.1,23855.8,20187.5,15.33%
11379,3.61E+10,3514.3,2026.9,1809.7,10.72%,,,SUMIF,08816,0,0,0,#DIV/0!,#DIV/0!,,,MAPZIPS,10065,29181.2,18342.5,17688.2,3.29%
11379,3.61E+10,1255,769.3,689.1,10.43%,,,SUMIF,08817,0,0,0,#DIV/0!,#DIV/0!,,,MAPZIPS,10069,25962.2,15873.4,15134.2,4.76%
11379,3.61E+10,1375.5,736.1,659.9,10.35%,,,SUMIF,08820,0,0,0,#DIV/0!,#DIV/0!,,,MAPZIPS,10075,64571.1,42402.7,40896.1,3.47%
11379,3.61E+10,3481.8,1771.7,1590.3,10.24%,,,SUMIF,08857,0,0,0,#DIV/0!,#DIV/0!,,,MAPZIPS,10128,64737.5,42150.3,40258,4.78%
11379,3.61E+10,1979.2,887.9,802.9,9.57%,,,SUMIF,08902,0,0,0,#DIV/0!,#DIV/0!,,,MAPZIPS,10280,11992.3,9660,9310.1,3.53%
11379,3.61E+10,2035.6,1037,938.3,9.52%,,,SUMIF,10001,52301.4,37286.9,35028.8,5.88%,5.88%,,,MAPZIPS,10282,8787.3,6360.3,6135,3.53%
11379,3.61E+10,1725,1105.9,1006.2,9.02%,,,SUMIF,10002,78871.8,35331.8,31534.4,10.28%,10.28%,,,MAPZIPS,10314,104339.3,55987.1,51206.5,10.20%
11379,3.61E+10,1558.6,831.7,764.6,8.07%,,,SUMIF,10003,77493.5,51441.3,48534.1,5.74%,5.74%,,,MAPZIPS,10458,79715.8,44143.3,35809.6,19.40%
11379,3.61E+10,2458.3,1457.4,1351.4,7.27%,,,SUMIF,10005,16750.6,14264.4,13662.8,4.05%,4.05%,,,MAPZIPS,10462,87780.2,52386.8,44388.1,15.58%
11379,3.61E+10,2260.2,1150.1,1069.9,6.97%,,,SUMIF,10006,4176.4,3746.7,3605.2,3.78%,3.78%,,,MAPZIPS,10463,71928.3,39628.7,35127.6,10.80%
11379,3.61E+10,1458.6,860,800.3,6.94%,,,SUMIF,10007,30531.5,20649.2,19694,5.34%,5.34%,,,MAPZIPS,10704,1540.8,863.6,799.4,7.43%
11379,3.61E+10,1324,655.5,614.1,6.32%,,,SUMIF,10009,66018.8,40269.8,37558.3,8.14%,8.14%,,,MAPZIPS,11101,56401.2,37732,34074.6,11.45%
11379,3.61E+10,3307.5,1843.2,1727.4,6.28%,,,SUMIF,10010,65706.9,46690.3,44184.4,5.41%,5.41%,,,MAPZIPS,11104,40562.5,26246.7,24099.1,8.23%
11364,3.61E+10,2622.1,1289.5,1121.6,13.02%,,,SUMIF,10011,77197.3,55117,52056.5,5.68%,5.68%,,,MAPZIPS,11105,39387.6,25815.4,23715,8.14%
11364,3.61E+10,2085.2,1108.9,999.1,9.90%,,,SUMIF,10012,45336.7,29546.1,28139.2,4.69%,4.69%,,,MAPZIPS,11201,67328.2,46246.6,42750.6,8.01%
11364,3.61E+10,5414.2,2594.1,2349.3,9.44%,,,SUMIF,10013,39704.1,24476.9,23170.1,5.62%,5.62%,,,MAPZIPS,11205,58761.4,35744.6,32003,10.64%
11364,3.61E+10,2303.5,1183.7,1072.9,9.36%,,,SUMIF,10014,44759.1,32382.6,30539.1,5.78%,5.78%,,,MAPZIPS,11206,99968.3,57372.7,49372.2,14.45%
11364,3.61E+10,3135,1632.1,1482.9,9.14%,,,SUMIF,10016,70137.6,48589,45997.7,5.22%,5.22%,,,MAPZIPS,11207,111815.7,56818.6,47465.8,16.30%
11364,3.61E+10,5898.8,3095.5,2814.9,9.06%,,,SUMIF,10017,39500.7,26888.3,25905.4,3.43%,3.43%,,,MAPZIPS,11209,63354.7,36333.3,33270.1,8.12%
11364,3.61E+10,44.1,11.9,10.9,8.40%,,,SUMIF,10018,26727.5,21254.2,20033.9,6.26%,6.26%,,,MAPZIPS,11210,88405.7,46208.9,41457.7,9.99%
11364,3.61E+10,3445.3,1806.3,1656.8,8.28%,,,SUMIF,10019,66835.2,46359.7,43606.6,5.22%,5.22%,,,MAPZIPS,11211,77084.8,52845.9,48469.2,8.19%
11364,3.61E+10,844.5,395.1,362.6,8.23%,,,SUMIF,10021,64371.5,41288.2,39842,3.48%,3.48%,,,MAPZIPS,11213,71356.2,37892.7,32877.6,13.39%
11364,3.61E+10,2078.1,1038.5,955.5,7.99%,,,SUMIF,10022,43040.3,27285.3,26376.6,3.17%,3.17%,,,MAPZIPS,11215,73727.1,55629.1,52777.6,5.40%
11364,3.61E+10,3160.6,1685.6,1551.8,7.94%,,,SUMIF,10023,68248.9,44083.4,42085.8,4.57%,4.57%,,,MAPZIPS,11216,89931,56414.4,50010.2,11.39%
11364,3.61E+10,2659.6,1331.8,1230.8,7.58%,,,SUMIF,10024,71842,46880.5,44827.1,3.98%,3.98%,,,MAPZIPS,11218,81263.4,45824.8,41923.4,8.56%
11364,3.61E+10,3807.1,2133.9,1975.3,7.43%,,,SUMIF,10025,93584.9,51714.9,47819.6,7.36%,7.36%,,,MAPZIPS,11221,115537.8,70655.9,60091.5,15.07%
11364,3.61E+10,4034.4,1989.4,1845.3,7.24%,,,SUMIF,10026,50802.5,30586.5,27652.3,8.43%,8.43%,,,MAPZIPS,11222,42110.4,30906.7,28892.1,6.77%
11364,3.61E+10,1426.9,740.4,691.1,6.66%,,,SUMIF,10027,76021.6,40616.8,37035.2,8.43%,8.43%,,,MAPZIPS,11226,109596.5,62948,55167.2,12.30%
11364,3.61E+10,2896.7,1495.9,1408,5.88%,,,SUMIF,10028,73058.8,47893.2,46123.3,3.62%,3.62%,,,MAPZIPS,11230,92241.5,46364,42185.5,8.83%
11435,3.61E+10,1783.8,968.8,718.7,25.82%,,,SUMIF,10029,80982,42359.2,36405.6,13.55%,13.55%,,,MAPZIPS,11231,38936.6,27335.2,25375.3,7.31%
11435,3.61E+10,8262.5,4249.1,3167.3,25.46%,,,SUMIF,10030,37943.8,23221.4,20032.5,12.81%,12.81%,,,MAPZIPS,11232,36778.8,21401.1,19170.1,10.83%
11435,3.61E+10,1323.1,746,580.1,22.24%,,,SUMIF,10031,69242.6,42110.8,37326.5,10.67%,10.67%,,,MAPZIPS,11233,75970.6,39569.3,34078.4,14.26%
11435,3.61E+10,1629.1,859.3,679.8,20.89%,,,SUMIF,10032,88042.8,52081.8,44850.8,13.70%,13.70%,,,MAPZIPS,11238,79358.3,54474.9,50014.1,8.43%
11435,3.61E+10,1830.9,1043.6,827.6,20.70%,,,SUMIF,10033,70287.7,42234,36374.1,13.05%,13.05%,,,MAPZIPS,11249,38051.7,25290.7,23457.8,7.53%
11435,3.61E+10,2390.4,1336.7,1072.8,19.74%,,,SUMIF,10034,40029.4,24351.7,21364.1,12.97%,12.97%,,,MAPZIPS,11354,82587.3,35878.4,32415.4,9.45%
