fips,name
14000US36005019900,"Census Tract 199, Bronx, NY"
14000US36005020000,"Census Tract 200, Bronx, NY"
14000US36005020100,"Census Tract 201, Bronx, NY"
14000US36005020200,"Census Tract 202, Bronx, NY"
14000US36005020400,"Census Tract 204, Bronx, NY"
14000US36005020501,"Census Tract 205.01, Bronx, NY"
14000US36005020502,"Census Tract 205.02, Bronx, NY"
14000US36005020601,"Census Tract 206.01, Bronx, NY"
14000US36005020900,"Census Tract 209, Bronx, NY"
14000US36005021001,"Census Tract 210.01, Bronx, NY"
14000US36005021002,"Census Tract 210.02, Bronx, NY"
14000US36005021100,"Census Tract 211, Bronx, NY"
14000US36005021200,"Census Tract 212, Bronx, NY"
14000US36005021301,"Census Tract 213.01, Bronx, NY"
14000US36005021302,"Census Tract 213.02, Bronx, NY"
14000US36005021501,"Census Tract 215.01, Bronx, NY"
14000US36005021502,"Census Tract 215.02, Bronx, NY"
14000US36005021601,"Census Tract 216.01, Bronx, NY"
14000US36005021602,"Census Tract 216.02, Bronx, NY"
14000US36005021700,"Census Tract 217, Bronx, NY"
14000US36005021800,"Census Tract 218, Bronx, NY"
14000US36005021900,"Census Tract 219, Bronx, NY"
14000US36005022000,"Census Tract 220, Bronx, NY"
14000US36005022101,"Census Tract 221.01, Bronx, NY"
14000US36005022102,"Census Tract 221.02, Bronx, NY"
14000US36005022200,"Census Tract 222, Bronx, NY"
14000US36005022300,"Census Tract 223, Bronx, NY"
14000US36005022401,"Census Tract 224.01, Bronx, NY"
14000US36005022403,"Census Tract 224.03, Bronx, NY"
14000US36005022404,"Census Tract 224.04, Bronx, NY"
14000US36005022500,"Census Tract 225, Bronx, NY"
14000US36005022701,"Census Tract 227.01, Bronx, NY"
14000US36005022702,"Census Tract 227.02, Bronx, NY"
14000US36005022703,"Census Tract 227.03, Bronx, NY"
14000US36005022800,"Census Tract 228, Bronx, NY"
14000US36005022901,"Census Tract 229.01, Bronx, NY"
14000US36005022902,"Census Tract 229.02, Bronx, NY"
14000US36005023000,"Census Tract 230, Bronx, NY"
14000US36005023100,"Census Tract 231, Bronx, NY"
14000US36005023200,"Census Tract 232, Bronx, NY"
14000US36005023301,"Census Tract 233.01, Bronx, NY"
14000US36005023302,"Census Tract 233.02, Bronx, NY"
14000US36005023501,"Census Tract 235.01, Bronx, NY"
14000US36005023502,"Census Tract 235.02, Bronx, NY"
14000US36005023600,"Census Tract 236, Bronx, NY"
14000US36005023702,"Census Tract 237.02, Bronx, NY"
14000US36005023703,"Census Tract 237.03, Bronx, NY"
14000US36005023704,"Census Tract 237.04, Bronx, NY"
14000US36005023800,"Census Tract 238, Bronx, NY"
14000US36005023900,"Census Tract 239, Bronx, NY"
14000US36005024000,"Census Tract 240, Bronx, NY"
14000US36005024100,"Census Tract 241, Bronx, NY"
14000US36005024300,"Census Tract 243, Bronx, NY"
14000US36005024400,"Census Tract 244, Bronx, NY"
14000US36005024501,"Census Tract 245.01, Bronx, NY"
14000US36005024502,"Census Tract 245.02, Bronx, NY"
14000US36005024600,"Census Tract 246, Bronx, NY"
14000US36005024700,"Census Tract 247, Bronx, NY"
14000US36005024800,"Census Tract 248, Bronx, NY"
14000US36005024900,"Census Tract 249, Bronx, NY"
14000US36005025000,"Census Tract 250, Bronx, NY"
14000US36005025100,"Census Tract 251, Bronx, NY"
14000US36005025200,"Census Tract 252, Bronx, NY"
14000US36005025300,"Census Tract 253, Bronx, NY"
14000US36005025400,"Census Tract 254, Bronx, NY"
14000US36005025500,"Census Tract 255, Bronx, NY"
14000US36005025600,"Census Tract 256, Bronx, NY"
14000US36005025700,"Census Tract 257, Bronx, NY"
14000US36005026100,"Census Tract 261, Bronx, NY"
14000US36005026300,"Census Tract 263, Bronx, NY"
14000US36005026400,"Census Tract 264, Bronx, NY"
14000US36005026500,"Census Tract 265, Bronx, NY"
14000US36005026601,"Census Tract 266.01, Bronx, NY"
14000US36005026602,"Census Tract 266.02, Bronx, NY"
14000US36005026701,"Census Tract 267.01, Bronx, NY"
14000US36005026702,"Census Tract 267.02, Bronx, NY"
14000US36005026900,"Census Tract 269, Bronx, NY"
14000US36005027300,"Census Tract 273, Bronx, NY"
14000US36005027401,"Census Tract 274.01, Bronx, NY"
14000US36005027402,"Census Tract 274.02, Bronx, NY"
14000US36005027600,"Census Tract 276, Bronx, NY"
14000US36005027700,"Census Tract 277, Bronx, NY"
14000US36005027900,"Census Tract 279, Bronx, NY"
14000US36005028100,"Census Tract 281, Bronx, NY"
14000US36005028300,"Census Tract 283, Bronx, NY"
14000US36005028400,"Census Tract 284, Bronx, NY"
14000US36005028500,"Census Tract 285, Bronx, NY"
14000US36005028600,"Census Tract 286, Bronx, NY"
14000US36005028700,"Census Tract 287, Bronx, NY"
14000US36005028800,"Census Tract 288, Bronx, NY"
14000US36005028900,"Census Tract 289, Bronx, NY"
14000US36005029301,"Census Tract 293.01, Bronx, NY"
14000US36005029302,"Census Tract 293.02, Bronx, NY"
14000US36005029500,"Census Tract 295, Bronx, NY"
14000US36005029600,"Census Tract 296, Bronx, NY"
14000US36005029700,"Census Tract 297, Bronx, NY"
14000US36005030000,"Census Tract 300, Bronx, NY"
14000US36005030100,"Census Tract 301, Bronx, NY"
14000US36005030200,"Census Tract 302, Bronx, NY"
14000US36005030701,"Census Tract 307.01, Bronx, NY"
14000US36005030900,"Census Tract 309, Bronx, NY"
