fips,cnip_2020_12,laborforce_2020_12,employed_2020_12,unemployment_percent_2020_12,ZIP
36047116800,1449.2,906.7,820.8,9.47,11208
36047080000,3430.5,1926.0,1701.9,11.64,11225
36047054600,3603.1,1656.3,1517.9,8.36,11210
36047054600,3603.1,1656.3,1517.9,8.36,11229
36047054600,3603.1,1656.3,1517.9,8.36,11230
36047086000,2805.2,1443.0,1296.7,10.14,11203
36081023500,6753.9,4161.6,3773.8,9.32,11104
36081023500,6753.9,4161.6,3773.8,9.32,11377
36081075702,3795.4,2159.6,2040.6,5.51,11375
36005030000,5256.0,3140.3,2911.9,7.27,10461
36047017100,3330.4,2370.5,2263.5,4.51,11215
36047017100,3330.4,2370.5,2263.5,4.51,11218
36081050000,3640.5,2049.0,1717.5,16.18,11423
36081078800,1700.1,1034.1,819.9,20.71,11436
36081002000,1714.7,932.9,807.3,13.46,11421
36061016700,5404.4,3737.1,3572.1,4.42,10024
36005023702,913.1,504.2,377.6,25.11,10458
36005029302,5154.1,2808.8,2664.7,5.13,10463
36061025700,3920.8,2682.7,2475.2,7.73,10026
36061025700,3920.8,2682.7,2475.2,7.73,10027
36047029800,3009.1,1645.1,1509.8,8.22,11214
36047029800,3009.1,1645.1,1509.8,8.22,11223
36047065400,1272.1,671.4,628.9,6.33,11234
36047043600,3842.2,2023.0,1847.8,8.66,11204
36047073800,3046.2,1606.4,1488.6,7.33,11210
36047073800,3046.2,1606.4,1488.6,7.33,11234
36047089000,4928.1,2114.0,1718.0,18.73,11212
36047078400,2262.1,1222.4,1097.1,10.25,11210
36047062200,2590.7,1174.8,1075.6,8.44,11235
36085015100,4224.1,2568.9,2332.8,9.19,10302
36085015100,4224.1,2568.9,2332.8,9.19,10310
36085015100,4224.1,2568.9,2332.8,9.19,10314
36081007500,3860.8,2560.2,2348.6,8.26,11106
36081059100,4578.2,3104.4,2769.7,10.78,11385
36005007800,5622.0,2906.2,2418.2,16.79,10472
36005023000,2110.6,1398.0,1167.9,16.46,10462
36061002800,6041.5,3313.2,3015.3,8.99,10009
36061001402,2817.2,1471.8,1351.1,8.2,10002
36005043600,1772.9,1039.9,917.0,11.82,10466
36047057900,1033.3,732.9,683.8,6.7,11222
36047028700,2819.2,1273.0,1087.7,14.56,11206
36047028700,2819.2,1273.0,1087.7,14.56,11221
36047039900,3329.6,2005.7,1650.2,17.72,11221
36047051100,4051.2,2299.9,1962.1,14.69,11206
36047051100,4051.2,2299.9,1962.1,14.69,11211
36081071305,4627.0,2831.9,2644.1,6.63,11375
36081003400,2063.1,1085.8,953.6,12.18,11208
36081003400,2063.1,1085.8,953.6,12.18,11416
36081036600,2445.2,1377.2,1166.4,15.31,11412
36081036600,2445.2,1377.2,1166.4,15.31,11413
36081036600,2445.2,1377.2,1166.4,15.31,11434
36061023700,6352.3,3928.8,3509.6,10.67,10031
36061023700,6352.3,3928.8,3509.6,10.67,10032
36005012500,3188.0,1618.2,1397.1,13.66,10459
36061013300,5690.6,4165.6,3860.6,7.32,10019
36061013300,5690.6,4165.6,3860.6,7.32,10101
36005007900,5000.5,2330.9,1906.6,18.2,10455
36061007700,6118.9,4612.2,4340.6,5.89,10011
36061007700,6118.9,4612.2,4340.6,5.89,10014
36061007700,6118.9,4612.2,4340.6,5.89,10121
36047092400,2045.4,1061.1,876.1,17.43,11212
36047019000,3928.6,2143.2,1817.6,15.19,11219
36047019000,3928.6,2143.2,1817.6,15.19,11228
36047115000,2149.1,1146.8,985.0,14.11,11207
36047115000,2149.1,1146.8,985.0,14.11,11208
36047120800,7694.4,3538.5,3031.4,14.33,11208
36047120800,7694.4,3538.5,3031.4,14.33,11414
36047010000,4888.1,2494.7,2214.4,11.24,11220
36081085300,4949.4,1959.4,1786.4,8.83,11352
36081085300,4949.4,1959.4,1786.4,8.83,11354
36081085300,4949.4,1959.4,1786.4,8.83,11355
36005021602,4908.9,2946.4,2515.2,14.63,10462
36005021602,4908.9,2946.4,2515.2,14.63,10472
36005000400,5134.2,3089.9,2735.8,11.46,10462
36005000400,5134.2,3089.9,2735.8,11.46,10473
36005024600,1869.4,1043.2,882.6,15.39,10462
36061012000,2891.2,1291.8,1254.5,2.89,10021
36061012000,2891.2,1291.8,1254.5,2.89,10065
36047005201,1591.5,593.2,534.6,9.88,11209
36047026700,3725.7,2301.6,1989.2,13.57,11216
36047026700,3725.7,2301.6,1989.2,13.57,11221
36047058900,1538.9,1019.9,946.6,7.19,11222
36081046800,2834.2,1366.4,1171.5,14.26,11423
36081046800,2834.2,1366.4,1171.5,14.26,11432
36081011000,2776.2,1604.7,1389.1,13.44,11416
36081011000,2776.2,1604.7,1389.1,13.44,11417
36081011000,2776.2,1604.7,1389.1,13.44,11419
36081063301,1331.3,785.4,704.7,10.28,11385
36005030900,3365.8,1094.0,1026.4,6.18,10463
36005030900,3365.8,1094.0,1026.4,6.18,10471
36005014100,4387.8,2447.2,2112.3,13.69,10451
36005014100,4387.8,2447.2,2112.3,13.69,10456
36061000201,2462.8,820.0,733.0,10.61,10002
36061027500,3014.3,1874.0,1693.8,9.62,10033
36061027500,3014.3,1874.0,1693.8,9.62,10040
36005012300,3380.6,1610.5,1431.1,11.14,10459
36005012300,3380.6,1610.5,1431.1,11.14,10460
36047016000,3411.3,2060.6,1904.6,7.57,11209
36047025600,2510.7,1041.6,905.1,13.1,11204
36047047400,1579.9,700.9,640.8,8.57,11204
36081127700,2697.2,1258.3,1139.9,9.41,11366
36081127700,2697.2,1258.3,1139.9,9.41,11423
36081127700,2697.2,1258.3,1139.9,9.41,11432
36081024300,4922.9,2654.9,2432.2,8.39,11377
36005032600,3441.9,1597.4,1381.6,13.51,10469
36061006200,4005.5,2157.1,2017.3,6.48,10010
36061006200,4005.5,2157.1,2017.3,6.48,10016
36061019000,2960.7,1862.2,1720.2,7.63,10026
36061019000,2960.7,1862.2,1720.2,7.63,10035
36047004300,3065.4,2524.2,2373.3,5.98,11201
36047004300,3065.4,2524.2,2373.3,5.98,11217
36085007000,7391.2,3648.3,3345.8,8.29,10305
36081027400,1370.2,768.2,672.0,12.52,11434
36081023600,2642.5,1419.0,1247.7,12.07,11432
36081023600,2642.5,1419.0,1247.7,12.07,11435
36081100802,6650.8,3594.7,3110.2,13.48,11691
36081080301,3406.2,1430.0,1287.1,9.99,11355
36081018000,1044.0,491.2,372.2,24.23,11420
36005022902,2482.8,1454.7,1189.1,18.26,10457
36061012700,6597.8,5284.7,4998.5,5.42,10019
36061012700,6597.8,5284.7,4998.5,5.42,10036
36061009100,6092.0,4876.0,4563.6,6.41,10001
36061009100,6092.0,4876.0,4563.6,6.41,10010
36061009100,6092.0,4876.0,4563.6,6.41,10011
36047035602,4796.5,1745.3,1631.8,6.5,11224
36047035602,4796.5,1745.3,1631.8,6.5,11235
36047096400,1636.9,936.9,853.5,8.9,11236
36047057400,2536.9,1163.6,1056.9,9.17,11229
36047077400,2771.6,1631.3,1447.4,11.27,11210
36081018300,5570.5,3571.2,3293.2,7.78,11104
36081018300,5570.5,3571.2,3293.2,7.78,11377
36061011800,8038.3,5092.9,4888.7,4.01,10021
36061011800,8038.3,5092.9,4888.7,4.01,10065
36005015200,2182.5,1206.3,1029.6,14.65,10465
36005039600,3472.2,1626.6,1336.9,17.81,10466
36005039600,3472.2,1626.6,1336.9,17.81,10467
36005039600,3472.2,1626.6,1336.9,17.81,10469
36061015802,4164.3,2740.3,2535.1,7.49,10029
36061015802,4164.3,2740.3,2535.1,7.49,10128
36061023000,7288.3,3980.3,3276.0,17.69,10030
36061023000,7288.3,3980.3,3276.0,17.69,10037
36061003602,3138.6,2116.3,1915.4,9.49,10003
